"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.115054125E0,-5.343866864E-1,1.689578106E0,-6.988305634E-1
2.125004125E0,-5.970944197E-1,1.433075812E0,-2.944646108E-1
2.134954125E0,-6.398085494E-1,1.178998870E0,3.262921751E-2
2.144904125E0,-6.239442493E-1,9.756017920E-1,1.195550948E-1
2.154854125E0,-6.050430516E-1,9.318782137E-1,-4.790214479E-2
2.164804125E0,-5.181331079E-1,9.992847696E-1,-2.815141976E-1
2.174754125E0,-4.625355888E-1,1.106015166E0,-3.405892020E-1
2.184704125E0,-3.257466298E-1,1.130091369E0,-2.286331487E-1
2.194654125E0,-1.815934682E-1,1.040040447E0,8.921272337E-2
2.204603125E0,6.875543542E-2,9.036869598E-1,6.330523109E-1
2.214553125E0,2.727365036E-1,7.402068501E-1,1.044312131E0
2.224503125E0,2.632917885E-1,7.101379091E-1,9.525318950E-1
2.234453125E0,1.538747424E-1,8.132051714E-1,5.895285612E-1
2.244403125E0,1.389394187E-1,9.671705456E-1,3.309933364E-2
2.254353125E0,1.539748760E-1,1.200378556E0,-3.258805311E-1
2.264303125E0,1.748799875E-1,1.369504737E0,-2.818562597E-1
2.274253125E0,1.591726852E-1,1.494331535E0,8.652534306E-2
2.284203125E0,1.360910207E-2,1.617916093E0,5.612145889E-1
2.294153125E0,-7.079180136E-2,1.592257926E0,1.073530667E0
2.304102125E0,-1.067913540E-1,1.493738774E0,1.351081622E0
2.314052125E0,-1.891694497E-1,1.489407449E0,1.327694514E0
2.324002125E0,-2.615013711E-1,1.588175838E0,1.100420258E0
2.333952125E0,-2.838843665E-1,1.665306752E0,7.271123761E-1
2.343902125E0,-4.085909314E-1,1.680514629E0,4.071679384E-1
2.353852125E0,-6.326646405E-1,1.640902959E0,3.317868036E-1
2.363802125E0,-7.667404184E-1,1.366976986E0,4.043536735E-1
2.373752125E0,-7.683039638E-1,9.756438920E-1,9.142788255E-1
2.383702125E0,-7.734679323E-1,4.531893262E-1,1.576639135E0
2.393651125E0,-7.264371689E-1,-2.813680172E-3,2.101226181E0
2.403601125E0,-6.816165067E-1,-2.095413318E-1,2.539826412E0
2.413551125E0,-7.029027106E-1,-2.280876765E-1,2.856295264E0
2.423501125E0,-6.493311055E-1,-2.094175170E-1,3.036579541E0
2.433451125E0,-5.540351948E-1,-1.296150832E-1,3.077993615E0
2.443401125E0,-3.706097939E-1,-7.527266890E-3,2.940346066E0
2.453351125E0,-7.594473325E-2,4.454862043E-2,2.667376404E0
2.463301125E0,2.178123645E-1,9.496229053E-2,2.348859272E0
2.473251125E0,5.699949141E-1,-2.679632753E-3,2.108559759E0
2.483200125E0,9.760055423E-1,-3.052679265E-1,2.048432255E0
2.493150125E0,1.238706908E0,-6.552726075E-1,2.191707750E0
2.503100125E0,1.273618586E0,-7.871765833E-1,2.279715362E0
2.513050125E0,1.277653019E0,-8.218067180E-1,2.002091317E0
2.523000125E0,1.137062931E0,-6.398625630E-1,1.394046378E0
2.532950125E0,9.417058484E-1,-2.701568583E-1,5.058589983E-1
2.542900125E0,9.484604057E-1,7.798416898E-2,-3.499751526E-1
2.552850125E0,1.119832356E0,2.496692379E-1,-1.016916171E0
2.562800125E0,1.330897911E0,3.136197969E-1,-1.418323433E0
2.572750125E0,1.383059314E0,3.721929641E-1,-1.427508824E0
2.582699125E0,1.331465676E0,3.441263290E-1,-1.002844262E0
2.592649125E0,1.363969470E0,3.952688545E-2,-4.323635906E-1
2.602599125E0,1.490463456E0,-3.853328271E-1,-8.523954034E-2
2.612549125E0,1.519778179E0,-6.355793314E-1,-4.768228948E-2
2.622499125E0,1.416931211E0,-6.208854246E-1,-1.907010913E-1
2.632449125E0,1.270102656E0,-4.517639943E-1,-6.468295205E-1
2.642399125E0,1.079829434E0,-1.809240351E-1,-1.349124559E0
2.652349125E0,9.168853681E-1,1.139127510E-1,-2.048355072E0
2.662299125E0,6.778767007E-1,4.357782914E-1,-2.656498244E0
2.672248125E0,3.656575312E-1,6.868989544E-1,-2.963606290E0
2.682198125E0,1.173236512E-2,8.462985116E-1,-2.796274765E0
2.692148125E0,-2.369704742E-1,7.685484505E-1,-2.211116998E0
2.702098125E0,-3.158091407E-1,4.499523076E-1,-1.435536466E0
2.712048125E0,-4.020389070E-1,1.852495860E-1,-8.950800776E-1
2.721998125E0,-5.564621913E-1,8.866542399E-2,-5.675447845E-1
2.731948125E0,-5.872851308E-1,9.909327529E-2,-5.581810534E-1
2.741898125E0,-5.521353979E-1,2.939538565E-1,-8.152024341E-1
2.751847125E0,-4.888023779E-1,5.930375484E-1,-1.187026293E0
2.761797125E0,-4.248876330E-1,9.347562133E-1,-1.406241331E0
2.771747125E0,-4.369153556E-1,1.234945394E0,-1.384989041E0
2.781697125E0,-5.182749029E-1,1.390700017E0,-1.147577468E0
2.791647125E0,-6.309948950E-1,1.398651938E0,-6.949228692E-1
2.801597125E0,-8.212326676E-1,1.271287009E0,-3.008772522E-1
2.811547125E0,-9.501866499E-1,1.126235204E0,-1.382164836E-2
2.821497125E0,-1.025980160E0,1.019748489E0,2.344177991E-1
2.831447125E0,-1.085585068E0,1.063043979E0,3.021262175E-1
2.841396125E0,-1.046608186E0,1.139245478E0,5.186866200E-1
2.851346125E0,-8.726828297E-1,1.118020085E0,9.348914301E-1
2.861296125E0,-7.015986353E-1,1.075328686E0,1.417946287E0
2.871246125E0,-5.555397930E-1,1.021390680E0,1.774407172E0
2.881196125E0,-3.781332967E-1,8.552256019E-1,2.072070209E0
2.891146125E0,-1.866455356E-1,6.353920743E-1,2.178053332E0
2.901096125E0,2.637518182E-2,5.792133419E-1,1.999442528E0
2.911046125E0,2.396607781E-1,6.813634685E-1,1.713052922E0
2.920996125E0,4.016616154E-1,9.264687353E-1,1.515062107E0
2.930945125E0,4.219678990E-1,1.269908236E0,1.359149026E0
2.940895125E0,2.674627537E-1,1.728839966E0,1.215591695E0
2.950845125E0,9.460641436E-2,2.123153093E0,7.368070596E-1
2.960795125E0,-1.066068012E-1,2.423320494E0,2.096390533E-1
2.970745125E0,-2.814305824E-1,2.501481541E0,-2.436300874E-1
2.980695125E0,-1.649862063E-1,2.146409955E0,-4.350071168E-1
2.990645125E0,-9.920532256E-3,1.480016090E0,-1.158274949E-1
3.000595125E0,2.440863164E-1,8.063240218E-1,5.377801180E-1
3.010545125E0,4.414053594E-1,1.599127965E-1,1.098885364E0
3.020494125E0,4.523354866E-1,-2.574789618E-1,1.248357153E0
3.030444125E0,5.827191862E-1,-8.526279033E-1,9.029568619E-1
3.040394125E0,5.299863642E-1,-1.510387843E0,5.064922518E-1
3.050344125E0,1.258879218E-1,-1.895906319E0,2.939658433E-1
3.060294125E0,-2.251255502E-1,-2.155412767E0,2.264994997E-1
3.070244125E0,-3.864406552E-1,-2.402104310E0,3.993092805E-1
3.080194125E0,-4.789061847E-1,-2.614432790E0,6.145645845E-1
3.090144125E0,-6.126616082E-1,-2.594240600E0,7.774007696E-1
3.100093125E0,-6.626604183E-1,-2.516563849E0,8.215302908E-1
3.110043125E0,-5.734950574E-1,-2.557863318E0,6.482603341E-1
3.119993125E0,-4.703336549E-1,-2.659000560E0,2.269321936E-1
3.129943125E0,-2.539018180E-1,-2.798372746E0,-5.816868603E-1
3.139893125E0,1.440855532E-1,-2.503810779E0,-1.431491362E0
3.149843125E0,4.018746002E-1,-1.628536975E0,-2.316926458E0
3.159793125E0,4.495897072E-1,-8.857335958E-1,-3.073960791E0
3.169743125E0,6.549865325E-1,-3.142677781E-1,-3.397225277E0
3.179692125E0,7.456641296E-1,2.274957921E-1,-3.333550268E0
3.189642125E0,7.152097839E-1,5.300748399E-1,-3.233418455E0
3.199592125E0,6.497342710E-1,6.938133600E-1,-3.074088260E0
3.209542125E0,6.063261500E-1,8.984894429E-1,-2.881264629E0
3.219492125E0,5.492437305E-1,1.015423596E0,-2.916673028E0
3.229442125E0,3.510304289E-1,1.129603273E0,-3.099522479E0
3.239392125E0,1.205200316E-1,1.329674966E0,-3.036735662E0
3.249342125E0,-5.800174803E-2,1.465623314E0,-2.654963350E0
3.259292125E0,-2.335342848E-1,1.629368449E0,-2.365469458E0
3.269241125E0,-2.581937474E-1,1.714091973E0,-2.111851741E0
3.279191125E0,-3.385283509E-1,1.829461923E0,-1.646388817E0
3.289141125E0,-4.885967021E-1,1.923155806E0,-8.228184325E-1
3.299091125E0,-6.757200283E-1,1.795365347E0,1.907923079E-1
3.309041125E0,-9.422287356E-1,1.433894714E0,6.592396510E-1
3.318991125E0,-9.289617687E-1,1.089733887E0,1.514983755E0
3.328941125E0,-1.258897782E0,9.992407693E-1,2.090111209E0
3.338891125E0,-1.662988916E0,9.188805111E-1,2.001629972E0
3.348840125E0,-2.064244004E0,8.194372800E-1,1.524724047E0
3.358790125E0,-2.312049588E0,6.314236421E-1,1.089095371E0
3.368740125E0,-1.988367610E0,4.560154317E-1,1.655306405E0
3.378690125E0,-1.208738832E0,-1.042456225E-2,3.122413743E0
3.388640125E0,-1.975991247E-1,-3.374800182E-1,5.281808025E0
3.398590125E0,2.608369081E-1,-2.249727551E-1,6.763215898E0
3.408540125E0,3.546058550E-2,9.740686521E-2,6.176698653E0
3.418490125E0,-3.155935246E-1,7.588718203E-1,4.158400608E0
3.428439125E0,-4.238513602E-1,1.809509761E0,9.342102295E-1
3.438389125E0,-9.054701413E-1,2.325541015E0,-1.053588738E0
3.448339125E0,-6.928737125E-1,1.925857512E0,-9.276508230E-1
3.458289125E0,-3.134509586E-1,2.647643806E0,1.185582030E0
3.468239125E0,2.910667938E-1,1.913830813E0,2.845339336E0
3.478189125E0,9.436894432E-1,2.202311931E-1,3.871433297E0
3.488139125E0,9.872802166E-1,-8.851826419E-1,4.205163715E0
3.498089125E0,3.983868092E-1,-1.050015213E0,3.734648212E0
3.508038125E0,-5.952646067E-1,-5.899542385E-1,3.040378477E0
3.517988125E0,-9.350342484E-1,1.937129921E-1,2.400215952E0
3.527938125E0,-4.152957143E-1,9.723733250E-1,1.385036404E0
3.537888125E0,5.727786273E-2,7.439674138E-1,8.270845610E-1
3.547838125E0,2.027757378E-1,-1.762613922E-1,1.228660222E0
3.557788125E0,1.791385147E-1,-1.374142895E0,1.809119752E0
3.567738125E0,4.625450175E-1,-2.462533822E0,2.614024070E0
3.577688625E0,7.297320018E-1,-3.056147248E0,3.032276575E0
3.587637625E0,6.900700457E-1,-3.087829509E0,2.892137527E0
3.597587625E0,5.983498169E-1,-2.847429131E0,2.074034874E0
3.607537625E0,4.597410583E-1,-2.375638204E0,5.240888625E-1
3.617487625E0,1.388319030E-1,-1.682165006E0,-1.109251308E0
3.627437625E0,7.475051254E-2,-1.022747234E0,-2.214924120E0
3.637387625E0,3.543798602E-1,-6.065151612E-1,-2.795533923E0
3.647337625E0,6.958566695E-1,-4.553102575E-1,-2.907749593E0
3.657287625E0,9.861511923E-1,-1.734754498E-1,-3.086314788E0
3.667236625E0,1.065888064E0,5.390786384E-1,-3.828481405E0
3.677186625E0,7.145638128E-1,1.341501690E0,-4.507340219E0
3.687136625E0,1.176084106E0,1.222198830E0,-5.218339423E0
3.697086625E0,1.854820420E0,9.349400351E-1,-5.836899995E0
3.707036625E0,1.913231327E0,9.932658651E-1,-5.855169035E0
3.716986625E0,1.744180429E0,1.169825538E0,-4.773087400E0
3.726936625E0,1.620723779E0,9.121538012E-1,-3.196711974E0
3.736886625E0,1.521824705E0,3.436760203E-1,-1.681939888E0
3.746835625E0,1.309489646E0,-2.400451960E-1,-5.277416182E-1
3.756785625E0,1.033960074E0,-6.518182187E-1,-8.814385235E-2
3.766735625E0,7.556210607E-1,-7.364768381E-1,-1.853649223E-1
3.776685625E0,6.161437713E-1,-5.183288435E-1,-7.289408004E-1
3.786635625E0,7.367070723E-1,-2.275697594E-1,-1.309742977E0
3.796585625E0,8.254122573E-1,2.017603688E-2,-1.586933743E0
3.806535625E0,6.195737480E-1,3.834460768E-1,-2.024274484E0
3.816485625E0,2.603545859E-2,1.105835072E0,-2.237138861E0
3.826434625E0,-4.749414070E-1,1.601297429E0,-1.883424999E0
3.836384625E0,-8.273783836E-1,1.611530202E0,-1.640169718E0
3.846334625E0,-1.025103735E0,1.429716148E0,-1.784918126E0
