"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.768795967E1,6.500818697E1,2.560338876E1,2.331565062E1,1.326388421E0,7.819104767E1,4.748651528E0,3.684828066E0
7.868795502E1,6.500819294E1,2.560341716E1,2.351064235E1,1.379728017E0,7.819104767E1,4.748651511E0,3.689130095E0
7.968795121E1,6.500819901E1,2.560344193E1,2.367402908E1,1.337307966E0,7.819104767E1,4.748651506E0,3.687078359E0
8.068794644E1,6.500820568E1,2.560346378E1,2.426766884E1,1.285572818E0,7.739363861E1,4.748651510E0,3.720272750E0
8.168794155E1,6.500820949E1,2.560349086E1,2.491841791E1,1.309073951E0,7.739363861E1,4.748651521E0,3.755961816E0
8.268793797E1,6.500821308E1,2.560351458E1,2.518760396E1,1.268705706E0,7.739363861E1,4.748651523E0,3.761822616E0
8.368793309E1,6.500821576E1,2.560354464E1,2.551125124E1,1.350950286E0,7.739363861E1,4.748651526E0,3.743498062E0
8.468792903E1,6.500821853E1,2.560356510E1,2.520717616E1,1.272165336E0,7.739363861E1,4.748651518E0,3.749213495E0
8.568792498E1,6.500822116E1,2.560358629E1,2.513513046E1,1.278542212E0,7.739363861E1,4.748651518E0,3.806216376E0
8.668792093E1,6.500822570E1,2.560361867E1,2.544999686E1,1.442750366E0,7.739363861E1,4.748651518E0,4.222054708E0
8.768791628E1,6.500822798E1,2.560364365E1,2.553975475E1,1.444762798E0,7.739363861E1,4.748651515E0,4.380008478E0
8.868791175E1,6.500823029E1,2.560367338E1,2.551359953E1,1.438831995E0,7.667278290E1,4.748651523E0,4.440858635E0
8.968790841E1,6.500823289E1,2.560370185E1,2.528139844E1,1.436041301E0,7.667278290E1,4.748651521E0,4.524701172E0
9.068790424E1,6.500823837E1,2.560373043E1,2.566932291E1,1.438365737E0,7.667278290E1,4.748651513E0,4.575717939E0
9.168790019E1,6.500824026E1,2.560375878E1,2.575666887E1,1.427486404E0,7.667278290E1,4.748651516E0,4.787391130E0
9.268789566E1,6.500824275E1,2.560378844E1,2.586067870E1,1.426642433E0,7.667278290E1,4.748651519E0,4.800899760E0
9.368789220E1,6.500824502E1,2.560381806E1,2.596094858E1,1.430811399E0,7.667278290E1,4.748651515E0,4.746787824E0
9.468788743E1,6.500824565E1,2.560383977E1,2.586025654E1,1.380498252E0,7.667278290E1,4.748651499E0,5.897238101E0
9.568788338E1,6.500824705E1,2.560386245E1,2.589010935E1,1.264780237E0,7.667278290E1,4.748651500E0,5.484569651E0
9.668787873E1,6.500824709E1,2.560389052E1,2.581504640E1,1.295965839E0,7.667278290E1,4.748651497E0,5.523601239E0
9.768787503E1,6.500824863E1,2.560391976E1,2.581132523E1,1.347442874E0,7.667278290E1,4.748651504E0,5.484183738E0
9.868787038E1,6.500825030E1,2.560394397E1,2.582705845E1,1.257657998E0,7.667278290E1,4.748651499E0,5.516604340E0
9.968786705E1,6.500825261E1,2.560397052E1,2.595736388E1,1.267518757E0,7.667278290E1,4.748651495E0,5.678963404E0
1.006878628E2,6.500825559E1,2.560399596E1,2.597255898E1,1.266628253E0,7.761892700E1,4.748651490E0,5.554352628E0
1.016878585E2,6.500825902E1,2.560402413E1,2.600345492E1,1.334442595E0,7.761892700E1,4.748651485E0,5.645857428E0
1.026878543E2,6.500826095E1,2.560405065E1,2.581228699E1,1.314354741E0,7.761892700E1,4.748651490E0,5.591319026E0
1.036878501E2,6.500826477E1,2.560407868E1,2.591765184E1,1.368065786E0,7.761892700E1,4.748651484E0,5.714275990E0
1.046878458E2,6.500826717E1,2.560410805E1,2.584601635E1,1.404524707E0,7.890091705E1,4.748651488E0,5.701635395E0
1.056878420E2,6.500826899E1,2.560413567E1,2.597245675E1,1.359188633E0,7.890091705E1,4.748651501E0,5.780099082E0
1.066878374E2,6.500827051E1,2.560416002E1,2.589821236E1,1.296966149E0,7.890091705E1,4.748651504E0,5.583043496E0
1.076878333E2,6.500827140E1,2.560419030E1,2.596122948E1,1.381824533E0,7.894333649E1,4.748651507E0,5.580582298E0
1.086878294E2,6.500827583E1,2.560421890E1,2.639550023E1,1.412815852E0,7.894333649E1,4.748651502E0,6.049741405E0
1.096878259E2,6.500827862E1,2.560424562E1,2.629070681E1,1.354790528E0,7.894333649E1,4.748651504E0,5.960927632E0
1.106878213E2,6.500827982E1,2.560426914E1,2.604700510E1,1.239065725E0,7.894333649E1,4.748651507E0,5.611247249E0
1.116878171E2,6.500828232E1,2.560429859E1,2.593744479E1,1.331184405E0,7.894333649E1,4.748651503E0,5.395633953E0
1.126878135E2,6.500828083E1,2.560432440E1,2.532091509E1,1.264410033E0,7.894333649E1,4.748651540E0,5.480853638E0
1.136878086E2,6.500828593E1,2.560435479E1,2.544347966E1,1.381339660E0,7.592431641E1,4.748651516E0,5.467903663E0
1.146878043E2,6.500828904E1,2.560438130E1,2.580434119E1,1.366653736E0,7.592431641E1,4.748651508E0,5.395788956E0
1.156878006E2,6.500829094E1,2.560440810E1,2.591712169E1,1.309808540E0,7.592431641E1,4.748651517E0,5.528358478E0
1.166877962E2,6.500829261E1,2.560443225E1,2.563081174E1,1.202819354E0,7.276739502E1,4.748651520E0,5.460752375E0
1.176877917E2,6.500829879E1,2.560446031E1,2.581974989E1,1.289575676E0,7.276739502E1,4.748651501E0,5.524766426E0
1.186877882E2,6.500830466E1,2.560448944E1,2.587272673E1,1.371336641E0,6.747407532E1,4.748651488E0,5.597840586E0
1.196877834E2,6.500830901E1,2.560451858E1,2.590057948E1,1.415683518E0,6.747407532E1,4.748651476E0,5.921483765E0
1.206877794E2,6.500831374E1,2.560454865E1,2.611952537E1,1.487550148E0,6.747407532E1,4.748651468E0,5.979045536E0
1.216877761E2,6.500831958E1,2.560457406E1,2.625175441E1,1.427160529E0,6.043074799E1,4.748651457E0,6.277071237E0
1.226877717E2,6.500832296E1,2.560459983E1,2.617426562E1,1.389470041E0,6.043074799E1,4.748651463E0,6.129269711E0
1.236877666E2,6.500832875E1,2.560462346E1,2.617680927E1,1.313142483E0,5.612642288E1,4.748651460E0,5.753847718E0
1.246877632E2,6.500833685E1,2.560464489E1,2.629115867E1,1.281397342E0,5.612642288E1,4.748651447E0,5.535812962E0
1.256877586E2,6.500834427E1,2.560466691E1,2.652786177E1,1.307154920E0,5.612642288E1,4.748651433E0,5.750591360E0
1.266877546E2,6.500835066E1,2.560468586E1,2.665102736E1,1.209963866E0,5.134854126E1,4.748651430E0,5.724788802E0
1.276877503E2,6.500835558E1,2.560470991E1,2.644904225E1,1.256420340E0,5.134854126E1,4.748651426E0,5.927060217E0
1.286877466E2,6.500836216E1,2.560473458E1,2.647466203E1,1.322775954E0,5.134854126E1,4.748651432E0,5.985430746E0
1.296877428E2,6.500836886E1,2.560475494E1,2.633734977E1,1.287640277E0,5.134854126E1,4.748651434E0,5.827214103E0
1.306877387E2,6.500837707E1,2.560477978E1,2.622055043E1,1.387543370E0,5.073755264E1,4.748651401E0,5.822502724E0
1.316877347E2,6.500838409E1,2.560480135E1,2.629094117E1,1.351323853E0,5.073755264E1,4.748651422E0,5.950560196E0
1.326879034E2,6.500838981E1,2.560482224E1,2.641291513E1,1.241257870E0,5.073755264E1,4.748651426E0,5.881137686E0
1.336879017E2,6.500838942E1,2.560484010E1,2.620849382E1,9.499578953E-1,5.073755264E1,4.748651486E0,5.617966567E0
1.346879013E2,6.500839060E1,2.560486385E1,2.622964643E1,9.700133289E-1,5.650669479E1,4.748651503E0,5.638945488E0
1.356879023E2,6.500838274E1,2.560487788E1,2.650935322E1,7.986350870E-1,5.650669479E1,4.748651566E0,5.633632789E0
1.366879052E2,6.500837575E1,2.560489477E1,2.619214617E1,9.236110073E-1,1.185506203E2,4.748651587E0,5.574889875E0
1.376879092E2,6.500836226E1,2.560491961E1,2.643026707E1,1.317784820E0,1.290915749E2,4.748651640E0,5.648193287E0
1.386879110E2,6.500835575E1,2.560493718E1,2.655713031E1,1.449552779E0,1.335565426E2,4.748651677E0,6.003443282E0
1.396879154E2,6.500835029E1,2.560494386E1,2.626040848E1,1.416125356E0,1.414368711E2,4.748651684E0,6.074888681E0
1.406879199E2,6.500834422E1,2.560495598E1,2.631920750E1,1.379957111E0,1.441530217E2,4.748651656E0,5.586653812E0
1.416879221E2,6.500833404E1,2.560497252E1,2.608008068E1,1.455197539E0,1.460726851E2,4.748651655E0,5.577995176E0
1.426879288E2,6.500830329E1,2.560498936E1,2.669848496E1,9.308067241E-1,1.397045898E2,4.748651638E0,6.233464124E0
1.436879344E2,6.500829004E1,2.560500635E1,2.675826394E1,1.385939265E0,1.483512268E2,4.748651693E0,6.354397148E0
1.446879371E2,6.500827932E1,2.560501635E1,2.718299768E1,9.691172258E-1,1.483512268E2,4.748651658E0,6.281817787E0
1.456879431E2,6.500826266E1,2.560503184E1,2.716834460E1,1.594418834E0,1.550798340E2,4.748651704E0,5.983107750E0
1.466879478E2,6.500825286E1,2.560503732E1,2.722105929E1,1.026908299E0,1.550798340E2,4.748651652E0,6.420362022E0
1.476879535E2,6.500823343E1,2.560505004E1,2.693155870E1,1.771343287E0,1.592587891E2,4.748651685E0,5.798416618E0
1.486879575E2,6.500822672E1,2.560505605E1,2.762111592E1,1.027037747E0,1.592587891E2,4.748651662E0,6.542690059E0
1.496879606E2,6.500820803E1,2.560507264E1,2.749611821E1,1.578420117E0,1.594184570E2,4.748651707E0,6.209385377E0
1.506879644E2,6.500819791E1,2.560508163E1,2.730304387E1,1.076107015E0,1.594184570E2,4.748651649E0,6.682326452E0
1.516879677E2,6.500817818E1,2.560509914E1,2.719070860E1,1.759340780E0,1.594184570E2,4.748651662E0,6.150908085E0
1.526879704E2,6.500816977E1,2.560510661E1,2.707432349E1,1.142642602E0,1.594184570E2,4.748651632E0,6.538613111E0
1.536879719E2,6.500814958E1,2.560512453E1,2.707128844E1,1.804435974E0,1.594184570E2,4.748651657E0,5.657225572E0
